org_name,org_url,platform,repo_count,页签,项目名称,分类,上游地址,description,blog,location,public_repos,source
ezlab,https://gitlab.com/ezlab,gitlab.com,1,鲲鹏,BUSCO,HPC,,,,,0,repo_unknown_org.csv
ffmpeg,https://github.com/ffmpeg,github.com,1,鲲鹏,Ffmpeg,ARM应用支持,,,,,9,repo_known_org.csv
fluid-cloudnative,https://github.com/fluid-cloudnative,github.com,1,鲲鹏,fluid(字节),虚拟化,,,,,8,repo_known_org.csv
gadget-framework,https://github.com/gadget-framework,github.com,1,鲲鹏,GADGET-2,HPC,,,,,15,repo_known_org.csv
gcc-mirror,https://github.com/gcc-mirror,github.com,1,鲲鹏,gcc,基础库&加速库,,,,,1,repo_known_org.csv
genetics-statistics,https://github.com/genetics-statistics,github.com,1,鲲鹏,GEMMA,HPC,,,,,7,repo_known_org.csv
glean (SourceForge),https://sourceforge.net/projects/glean-gene,,1,鲲鹏,glean,HPC,,,,,0,repo_unknown_org.csv
gnuplot,https://github.com/gnuplot,github.com,1,鲲鹏,gnuplot,HPC,,,,,0,repo_unknown_org.csv
gperftools,https://github.com/gperftools,github.com,1,鲲鹏,gperftools,基础库&加速库,,,,,2,repo_known_org.csv
gulp,https://github.com/gulpjs,github.com,1,鲲鹏,gulp,基础库&加速库,,A toolkit to automate & enhance your workflow,https://gulpjs.com,,72,repo_known_org.csv
happyfish100,https://github.com/happyfish100,github.com,1,鲲鹏,FastDFS,分布式存储,,,,,0,repo_unknown_org.csv
iGEM/UCSD evolutionary biology and bioinformatics group,https://github.com/veg,github.com,1,鲲鹏,hyphy,HPC,,,http://lab.hyphy.org,Philadelphia,104,repo_known_org.csv
iem@kug,https://github.com/iem-projects,github.com,1,鲲鹏,ncview,HPC,,,http://iem.at,"Graz, Austria",32,repo_known_org.csv
inclusionai,https://github.com/inclusionAI,github.com,1,昇腾,Areal;inclusionAI,"推理加速,训练加速",https://github.com/inclusionAI,This organization contains the series of open-source projects from Ant Group with dedicated efforts to work towards Artificial General Intelligence (AGI).,https://inclusion-ai.org,,45,"organization.csv,repo_known_org.csv"
jax-ml,https://github.com/jax-ml,github.com,1,鲲鹏,Jax,HPC,,Pushing back the limits on numerical computing.,https://docs.jax.dev,,15,repo_known_org.csv
jemalloc memory allocator,https://github.com/jemalloc,github.com,1,鲲鹏,jemalloc,基础库&加速库,,,http://jemalloc.net/,,5,repo_known_org.csv
juicefs,https://github.com/juicefs,github.com,1,鲲鹏,JuiceFS(电信),分布式存储,,,,,0,repo_known_org.csv
k8snetworkplumbingwg,https://github.com/k8snetworkplumbingwg,github.com,1,鲲鹏,sriov-network-operato(快手/字节),虚拟化,,,,,42,repo_known_org.csv
kupferlauncher,https://github.com/kupferlauncher,github.com,1,鲲鹏,Binder,ARM应用支持,,"Kupfer, Application Launcher and Document Access for Linux",https://kupferlauncher.github.io/,,5,repo_known_org.csv
libeigen,https://gitlab.com/libeigen,gitlab.com,1,鲲鹏,Eigen,基础库&加速库,,,,,0,repo_unknown_org.csv
libevent,https://github.com/libevent,github.com,1,鲲鹏,Libevent,基础库&加速库,,,https://libevent.org,,7,repo_known_org.csv
libjpeg-turbo,https://github.com/libjpeg-turbo,github.com,1,鲲鹏,libjpeg-turbo,ARM应用支持,,SIMD-accelerated libjpeg-compatible JPEG codec library ,https://libjpeg-turbo.org,,12,repo_known_org.csv
linux-rdma,https://github.com/linux-rdma,github.com,1,鲲鹏,rdma-core,虚拟化,,Linux RDMA,https://patchwork.kernel.org/project/linux-rdma/list/,,7,repo_known_org.csv
llm-d,https://github.com/llm-d,github.com,1,昇腾,llm-d,推理加速,,llm-d enables high performance distributed inference in production on Kubernetes,https://llm-d.ai,United States of America,16,repo_known_org.csv
lustre,https://github.com/lustre,github.com,1,鲲鹏,Lustre,分布式存储,,,,,0,repo_unknown_org.csv
lz4,https://github.com/lz4,github.com,1,鲲鹏,LZ4,基础库&加速库,,,,,2,repo_known_org.csv
meituan,https://github.com/meituan,github.com,1,"昇腾,鲲鹏",MTGR;newpfordelta(美团),"应用加速,搜广推",https://github.com/meituan,,,,0,"organization.csv,repo_unknown_org.csv"
memcached community,https://github.com/memcached,github.com,1,鲲鹏,Memcached,Web,,,http://memcached.org/,,11,repo_known_org.csv
meteorhacks,https://github.com/meteorhacks,github.com,1,鲲鹏,npm,基础库&加速库,,,,,75,repo_known_org.csv
milc-qcd,https://github.com/milc-qcd,github.com,1,鲲鹏,MILC,HPC,,,,,6,repo_known_org.csv
mlfoundations,https://github.com/mlfoundations,github.com,1,昇腾,openclip,推理加速,,,https://people.csail.mit.edu/ludwigs/,,35,repo_known_org.csv
mongodb,https://github.com/mongodb,github.com,1,鲲鹏,MongoDB,数据库,,,http://www.mongodb.com/,United States of America,299,repo_known_org.csv
mummer4,https://github.com/mummer4,github.com,1,鲲鹏,mummer,HPC,,,,,2,repo_known_org.csv
musl-libc,https://musl.libc.org,,1,鲲鹏,musl,ARM应用支持,,,,,0,repo_unknown_org.csv
netCDF Operators,https://github.com/nco,github.com,1,鲲鹏,NCO,HPC,,,,,8,repo_known_org.csv
netdata,https://github.com/netdata,github.com,1,鲲鹏,Netdata,基础库&加速库,,,https://www.netdata.cloud,USA,74,repo_known_org.csv
nginx,https://github.com/nginx,github.com,1,鲲鹏,Nginx,Web,,Home of NGINX and related open source projects,https://nginx.org/,,60,repo_known_org.csv
nmslib,https://github.com/nmslib,github.com,1,鲲鹏,hnswlib(美团),搜广推,,,,,2,repo_known_org.csv
ntop,https://github.com/ntop,github.com,1,鲲鹏,nDPI,基础库&加速库,,Open source network traffic monitoring software: http://t.me/ntop_community,http://www.ntop.org,Europe,24,repo_known_org.csv
nwchemgit,https://github.com/nwchemgit,github.com,1,鲲鹏,Nwchem,HPC,,,,,0,repo_unknown_org.csv
oVirt,https://github.com/ovirt,github.com,1,鲲鹏,Ovirt,虚拟化,,Open Virtual Datacenter,https://ovirt.org,worldwide,178,repo_known_org.csv
oneAPI-SRC,https://github.com/oneapi-src,github.com,1,鲲鹏,onednn(京东),搜广推,,oneAPI open source projects,https://oneapi.com,Hillsboro OR,51,repo_known_org.csv
open-mpi,https://github.com/open-mpi,github.com,1,鲲鹏,openMPI,HPC,,,,,0,repo_unknown_org.csv
openEuler (OpenAtom Foundation),https://gitee.com/openeuler,gitee.com,1,鲲鹏,Stratovirt;iSula,虚拟化,,,,,0,repo_unknown_org.csv
opencurve,https://github.com/opencurve,github.com,1,鲲鹏,CURVE,分布式存储,,,,,29,repo_known_org.csv
openvelinux,https://github.com/openvelinux,github.com,1,鲲鹏,openvelinux(字节),虚拟化,,,,,15,repo_known_org.csv
openvswitch,https://github.com/openvswitch,github.com,1,鲲鹏,Open vSwitch,虚拟化,,,,,8,repo_known_org.csv
pandas,https://github.com/pandas-dev,github.com,1,鲲鹏,pandas（携程）,大数据,,Powerful data manipulation tools for Python,http://pandas.pydata.org,,16,repo_known_org.csv
parafem,https://github.com/parafem,github.com,1,鲲鹏,paraFEM,HPC,,,,,5,repo_known_org.csv
php.net,https://github.com/php,github.com,1,鲲鹏,PHP,基础库&加速库,,PHP is a popular general-purpose scripting language that is especially suited to web development,https://www.php.net,,151,repo_known_org.csv
plumed,https://github.com/plumed,github.com,1,鲲鹏,plumed,基础库&加速库,,,www.plumed.org,,58,repo_known_org.csv
popgenmethods,https://github.com/popgenmethods,github.com,1,鲲鹏,smcpp,HPC,,Statistical methods for population genetic analysis,,"University of California, Berkeley",12,repo_known_org.csv
posit-pbc,https://github.com/posit-pbc,github.com,1,鲲鹏,R,基础库&加速库,,,,,0,repo_unknown_org.csv
psi4,https://github.com/psi4,github.com,1,鲲鹏,PSI,HPC,,,http://psicode.org,,26,repo_known_org.csv
pysam-developers,https://github.com/pysam-developers,github.com,1,鲲鹏,pysam,HPC,,,,,3,repo_known_org.csv
qnap-dev,https://github.com/qnap-dev,github.com,1,鲲鹏,QDK,基础库&加速库,,,,,13,repo_known_org.csv
rabitq,https://github.com/rabitq,github.com,1,鲲鹏,RabitQ(字节),搜广推,,,,,0,repo_known_org.csv
ranger,https://github.com/ranger,github.com,1,鲲鹏,Ranger,大数据,,,https://ranger.fm,,5,repo_known_org.csv
rsyslog and closely related libraries,https://github.com/rsyslog,github.com,1,鲲鹏,Rsyslog,基础库&加速库,,OFFICIAL rsyslog repositories @ github,http://www.rsyslog.com,,22,repo_known_org.csv
satijalab,https://github.com/satijalab,github.com,1,鲲鹏,Seurat,HPC,,,https://satijalab.org,,26,repo_known_org.csv
scikit-learn,https://github.com/scikit-learn,github.com,1,鲲鹏,SKLearn,基础库&加速库,,Repositories related to the scikit-learn Python machine learning library.,http://scikit-learn.org,,16,repo_known_org.csv
scverse,https://github.com/scverse,github.com,1,鲲鹏,scanpy,HPC,,Foundational tools for omics data in the life sciences,https://scverse.org,,78,repo_known_org.csv
seaweedfs,https://github.com/seaweedfs,github.com,1,鲲鹏,SeaweedFS,分布式存储,,,,,0,repo_unknown_org.csv
siesta-project,https://gitlab.com/siesta-project,gitlab.com,1,鲲鹏,siesta,HPC,,,,,0,repo_unknown_org.csv
simdjson,https://github.com/simdjson,github.com,1,鲲鹏,simdjson(美团),基础库&加速库,,Parsing gigabytes of JSON per second ,https://arxiv.org/abs/1902.08318,,23,repo_known_org.csv
simpleitk,https://github.com/simpleitk,github.com,1,鲲鹏,SimpleITK,HPC,,,,,25,repo_known_org.csv
sqlite (Hwaci),https://github.com/sqlite,github.com,1,鲲鹏,SQLite,数据库,,,,,0,repo_unknown_org.csv
strongSwan,https://github.com/strongswan,github.com,1,鲲鹏,Strongswan,虚拟化,,,https://strongswan.org,,12,repo_known_org.csv
tesseract-ocr,https://github.com/tesseract-ocr,github.com,1,鲲鹏,Tesseract,基础库&加速库,,Tesseract OCR,https://github.com/tesseract-ocr/,,14,repo_known_org.csv
thudm,https://github.com/THUDM,github.com,1,昇腾,Slime;THUDM,"推理加速,训练加速",https://github.com/THUDM,"ChatGLM, GLM-4, CogVLM, CodeGeeX, CogView, ImageReward, CogVideoX | CogDL, GraphMAE, AMiner | Zhipu.ai (Z.ai) & Knowledge Engineering Group (KEG)",https://huggingface.co/THUDM,"FIT Building, Tsinghua University",127,"organization.csv,repo_known_org.csv"
tianocore,https://github.com/tianocore,github.com,1,鲲鹏,edk2,基础库&加速库,,,http://www.tianocore.org,,34,repo_known_org.csv
tile-ai,https://github.com/tile-ai,github.com,1,昇腾,TileLang,算子库和编程,,Enabling Lightning-Fast AI Workloads Development via Tiling,,,18,repo_known_org.csv
tornadoweb,https://github.com/tornadoweb,github.com,1,鲲鹏,Tornado,基础库&加速库,,,,,1,repo_known_org.csv
trinityrnaseq,https://github.com/trinityrnaseq,github.com,1,鲲鹏,Trinity,HPC,,,,,47,repo_known_org.csv
triton-lang,https://github.com/triton-lang,github.com,1,昇腾,Triton,算子库和编程,,,,,8,repo_known_org.csv
unigespc,https://gitlab.com/unigespc,gitlab.com,1,鲲鹏,PALABOS,HPC,,,,,0,repo_unknown_org.csv
usadellab,https://github.com/usadellab,github.com,1,鲲鹏,trimmomatic,HPC,,,,,28,repo_known_org.csv
xdit-project,https://github.com/xdit-project,github.com,1,昇腾,xDiT,推理加速,,,,,7,repo_known_org.csv
yambo-code,https://github.com/yambo-code,github.com,1,鲲鹏,Yambo,HPC,,,,,0,repo_unknown_org.csv
zlib-ng,https://github.com/zlib-ng,github.com,1,鲲鹏,zlib-ng,基础库&加速库,,,,,6,repo_known_org.csv
Šikić lab,https://github.com/lbcb-sci,github.com,1,鲲鹏,GRAPHMAP,HPC,,A computational group with a focus on the development of new algorithms and AI models for the analysis of DNA and RNA sequencing data and biomolecular strucures,https://sikic-lab.github.io/,Singapore,30,repo_known_org.csv
唯品会,https://github.com/vipshop,github.com,1,昇腾,cache-dit,推理加速,,全球精选，正品特卖 (NASDAQ: VIPS),www.vip.com,Guangzhou China,36,repo_known_org.csv
铜锁/Tongsuo,https://github.com/Tongsuo-Project,github.com,1,鲲鹏,Tongsuo(蚂蚁),基础库&加速库,,A vessel for Tongsuo and relatives,https://www.tongsuo.net,China,24,repo_known_org.csv
android,https://github.com/android,github.com,0,鲲鹏,Android(联通云),ARM原生,https://github.com/android,,,,0,organization.csv
bioconda,https://github.com/bioconda,github.com,0,鲲鹏,Bioconda,HPC,https://github.com/bioconda,,,,0,organization.csv
opea-project,https://github.com/opea-project,github.com,0,昇腾,OPEA,推理加速,https://github.com/opea-project,,,,0,organization.csv
open-mmlab,https://github.com/open-mmlab,github.com,0,昇腾,OpenMMLab,训练加速,https://github.com/open-mmlab,,,,0,organization.csv
python,https://github.com/python,github.com,0,鲲鹏,Python,基础库&加速库,https://github.com/python,,,,0,organization.csv
qwenlm,https://github.com/QwenLM,github.com,0,昇腾,QwenLM,推理加速,https://github.com/QwenLM,,,,0,organization.csv
spring-cloud,https://github.com/spring-cloud,github.com,0,鲲鹏,Spring Cloud,Web,https://github.com/spring-cloud,,,,0,organization.csv
